post	target	implied_statement
time to suspend all immigration for 50 to 100 years	Immigrants	Immigrants are bad for our country
islam needs to be exposed. it is not a religion and should be removed like nazi fascism. p.c. kills	Muslims	Islam should be removed like nazism
it needs to go back to that. the 3rd world will always be incompatible with the 1st world. denying this is lunacy.	immigrants	Immigrants are inferior
do you think #americans are going to go pick fruit, or cut lawns, or do condition? think about it	Immigrants	Immigrants should do dirty jobs
omg, quit following the law, we need to sell tennis shoes	Immigrants	Immigrants do not follow the laws
why? so they can stab conservatives in the back when they vote. or continue the vicious cycle of illegal immigration. time to end it, deport	Immigrants	Immigrants are a threat to conservative people and should be deported
only the muslim/democrat (either one is shit) in office will not allow the laws to be enforced! deport!!!	Immigrants	Immigrants should be deported
we can only hope these neanderthals run into those of us packing heat. guarantee it's not gonna go well for the jihadis.	Muslims	Muslims should be killed
kick his whole family out as puniahment, send message, let no more in. wall off coast, ya cuck	Immigrants	Immigrants should be deported
is all that comes from africa even its people are shyt skins	Africans	Everything is Africa is wrong, even the people's skin color
the whole country is falling apart because of the wack jobs in gov , all of them should be removed , anyone that is going against the will of the citzens of this country	The government	The government works against the people and should be removed
bit late now,and he's supposed to be clever.	Immigrants	Immigrants have no intelligence
they should put them on a bus back to mexico	Immigrants	Immigrants are not worth living in their country.
ice needs to round up every illegal alien protester and deport them. don't break up the family. ship them all out.	Immigrants	All immigrants need to be deported
we want to revoke naturalizations from criminals. (i don't care if it's a parking ticket)	immigrants	immigrants are criminal.
as an example, obamas white genetics gave him the intelligence to be president.	black folks	Black folks have lower intelligence than white people
yes, start dreaming in your home countries! time to protect american citizens from criminals.	Immigrants	Immigrants are criminals
stick him in an mri machine, film the magnets ripping all that shit out of his flesh,	No specific group	See above
careful don't feed the tribesman	Immigrants	Immigrants are primitive tribesmen
how easy it is to get a background from someone with no background that lives in a mud hut, lmao!	Immigrants	Immigrants are inferior
deport those little turds!!	Immigrants	Immigrants should be deported.
deport mom and grandma!	Immigrants	Immigrants should be deported
educate yourselves abt this important issue: this barbaric enemy will out breed you & take over your counties..wake up	Immigrants	Immigrants are barbaric enemies and should be avoided
if they don't like the conditions don't do things to get put there! stay in your own country!	immigrants	immigrants are greedy
ah, the feminist double standard, she can troll cnn and stalk chris cuomo but not vice versa.	Women	Women are deceiving
give an inch they want a mile. no daca. no compromise. no surrender!	immigrants	immigrants are unreasonable for wanting human rights
- if going to war with these animals in unavoidable, it's time to hoist up the black flag.	Not specified	the group should be fought.
put nooses around them.	Immigrants	Immigrants should be killed
we are not feeding our own, ethnically diverse children. it's arrogant to pretend we can help others while kids go hungry.	Immigrants	Immigrants are profiteers.
they're not evil, or sad.they're obnoxious as hell. they're like a shitty smell in the air caused by hatred and jealousy of decent people.	Immigrants	Immigrants are unpleasant and like garbage
"turning into a cesspool over there because of their """"diversity"""" ,they bring their 3rd world habits with them"	Immigrants	Immigrants are like animals
round the muslims up send their asses packing.	Muslims	Muslims should be treated like animals
India makes active pedophilia a death penalty crime I don’t know what muslims are going to do but India may end up exterminating any true muslims who follow pedo Muhammad’s example with Aisha. Half the British & American establishment may also end up executed if they act on their perversions. All in all, a good outcome, time for the West to follow this example.	Muslims	Muslims are pedophiles
cheese eating surrender monkeys who know nothing about foreign policy	Color people	Color people are monkeys.
baltimore don't you have enough problems get illegals out & apparently the prosecutors giving this type of advice need to be fired	Immigrants	Immigrants should be deported
